timestamp,pixel_color,coordinate
4 005343.976,#6A5CFF,"1989,1048"
4 005402.436,#00CCC0,"1234,1267"
4 005415.508,#94B3FF,"1815,556"
4 005425.408,#E4ABFF,"1,1"
4 005436.435,#6A5CFF,"281,1937"
4 005436.579,#6A5CFF,"1857,582"
4 005454.07,#6A5CFF,"803,1446"
4 005459.456,#009EAA,"255,1509"
4 005508.015,#E4ABFF,"962,1997"
4 005529.374,#6A5CFF,"808,744"
4 005544.88,#009EAA,"1211,1274"
4 005545.435,#00CCC0,"222,1957"
4 005635.511,#94B3FF,"1278,1314"
4 005636.436,#00CCC0,"1364,1704"
4 005649.874,#6A5CFF,"1013,78"
4 005656.45,#94B3FF,"1276,1311"
4 005704.868,#6A5CFF,"408,1472"
4 005711.379,#00CCC0,"56,1511"
4 005712.436,#00CCC0,"231,1532"
4 005748.179,#6A5CFF,"1465,622"
4 005749.221,#E4ABFF,"1689,300"
4 005752.033,#6A5CFF,"1356,1375"
4 005820.015,#009EAA,"282,1489"
4 005828.118,#94B3FF,"1772,1073"
4 005843.118,#00CCC0,"1712,1457"
4 005905.316,#6A5CFF,"1559,224"
4 005919.984,#009EAA,"1347,1690"
4 005951.852,#00CCC0,"1389,1667"
4 005954.94,#6A5CFF,"1846,583"
4 010022.614,#00CCC0,"1408,1671"
4 010025.593,#6A5CFF,"1519,1998"
4 010040.656,#6A5CFF,"1598,1176"
4 010049.999,#94B3FF,"603,1481"
4 010114.28,#009EAA,"543,1985"
4 010148.192,#94B3FF,"1508,232"
4 010150.426,#009EAA,"1630,1085"
4 010209.243,#009EAA,"1510,1718"
4 010255.281,#009EAA,"1689,1086"
4 010256.836,#6A5CFF,"1999,0"
4 010309.583,#E4ABFF,"1872,737"
4 010408.099,#00CCC0,"475,1896"
4 010434.125,#94B3FF,"105,963"
4 010434.329,#94B3FF,"1045,490"
4 010435.802,#009EAA,"543,973"
4 010448.763,#00CCC0,"364,1254"
4 010453.222,#009EAA,"1989,376"
4 010515.676,#009EAA,"256,1510"
4 010524.534,#94B3FF,"1441,1027"
4 010536.284,#6A5CFF,"1013,49"
4 010538.915,#009EAA,"132,255"
4 010600.868,#00CCC0,"778,1192"
4 010608.055,#6A5CFF,"1723,1154"
4 010637.793,#94B3FF,"1747,1219"
4 010652.958,#E4ABFF,"1728,702"
4 010727.358,#94B3FF,"497,1927"
